Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
N. Niemann,Noel Niemann,64,1300000,"ST,RM,CAM",ST,Germany,22,171,60,357,VfL Osnabrück,1000,2100000,RW,2024,28,2022,-,Right,3,3,1,-,-,-,High,Low,81,61,58,68,29,60
Huang Zichang,Zichang Huang,64,725000,"RM,LM,ST",RM,China PR,25,173,67,366,Henan Songshan Longmen FC,3000,1200000,LM,2022,8,2022,-,Right,4,3,1,-,-,-,High,Low,87,54,55,64,41,65
B. Ould-Chikh,Bilal Ould-Chikh,64,800000,"RW,LW",CAM,Morocco,24,170,60,331,FC Volendam,2000,1200000,RW,2025,11,2022,-,Left,4,4,1,-,-,-,Medium,Low,77,57,55,71,27,44
P. Stępiński,Patryk Stępiński,64,550000,"CB,RWB",CB,Poland,27,178,62,347,Widzew Łódź,2000,743000,CB,2024,95,2020,-,Right,3,2,1,-,-,-,High,Medium,70,33,52,59,64,69
Gabriel Batista,Gabriel Batista de Souza,64,1100000,GK,GK,Brazil,24,188,78,364,Santa Clara,1000,2500000,SUB,2025,12,2022,-,Right,2,1,1,-,-,-,Medium,Medium,65,62,72,66,36,63
I. Bamba,Ibrahima Bamba,64,1300000,"CDM,CB",CDM,Côte d'Ivoire,20,184,68,354,Vitória de Guimarães,2000,3500000,CDM,2025,22,2020,-,Right,2,2,1,-,-,-,Low,Medium,65,46,58,60,60,65
Y. Bahassa,Yassine Bahassa,64,575000,"RM,LM",RW,France,30,187,79,332,FC U Craiova 1948,3000,776000,SUB,2023,89,2022,-,Right,3,2,1,-,-,-,High,Low,68,58,62,69,21,54
R. König,Ronny König,64,200000,ST,ST,Germany,39,190,93,303,FSV Zwickau,600,290000,ST,2023,15,2016,-,Left,4,2,1,-,-,-,Medium,Low,31,69,48,49,37,69
T. Uskok,Tomislav Uskok,64,400000,CB,CB,Australia,31,196,83,326,Macarthur FC,1000,500000,CB,2023,6,2021,-,Right,3,2,1,-,-,-,Medium,Medium,60,35,47,45,61,78
J. Thomasen,Jens Jakob Thomasen,64,725000,CM,CM,Denmark,26,177,65,367,Nîmes Olympique,2000,1300000,SUB,2023,14,2022,-,Right,3,2,1,-,-,-,Medium,Medium,58,59,62,63,62,63
A. Al Fahad,Abdullah Al Fahad,64,500000,CB,CB,Saudi Arabia,28,178,75,360,Al Raed,5000,825000,CB,2025,19,2018,-,Right,3,2,1,-,-,-,Medium,Medium,73,46,52,54,63,72
G. Zaro,Giovanni Zaro,64,500000,CB,CB,Italy,28,193,80,300,Südtirol,950,775000,CB,2023,19,2021,-,Right,2,2,1,-,-,-,Medium,Medium,53,30,39,43,65,70
J. Carrillo,Jordan Carrillo,64,1400000,LM,CAM,Mexico,20,168,62,348,Real Sporting de Gijón,2000,2500000,SUB,2025,20,2020,-,Right,4,3,1,-,-,-,Medium,Low,70,61,59,70,34,54
H. García,Héber García,64,725000,"CAM,CM,LM",CAM,Venezuela,25,169,70,343,Deportivo La Guaira FC,500,1600000,CM,2022,50,2022,-,Left,3,3,1,-,-,-,Medium,Medium,80,57,58,68,32,48
J. Castillo,Jonathan Castillo,64,1300000,"RW,LW,RM",RM,Venezuela,21,175,75,364,Metropolitanos de Caracas FC,500,3100000,LW,2023,15,2019,-,Right,3,4,1,-,-,-,High,Low,78,62,59,65,38,62
B. Cerezo,Bernardo Cerezo,64,550000,"CB,RB,LB",CB,Chile,27,175,72,348,Deportivo Ñublense,2000,743000,RB,2022,18,2021,-,Right,3,2,1,-,-,-,High,Medium,66,38,47,55,61,81
W. Aimson,Will Aimson,64,500000,CB,CB,England,28,185,85,301,Bolton Wanderers,3000,875000,SUB,2023,15,2021,-,Right,2,2,1,-,-,-,Low,Medium,55,31,39,42,63,71
M. Al Olayan,Madallah Al Olayan,64,575000,"RB,LB",RB,Saudi Arabia,27,170,68,367,Al Ittihad,8000,978000,SUB,2026,33,2022,-,Right,3,2,1,-,-,-,Medium,Medium,69,46,59,63,60,70
M. Vorobjovas,Modestas Vorobjovas,64,700000,"CDM,CM",CDM,Lithuania,26,177,75,364,AFC Chindia Târgoviște,1000,998000,CDM,2022,5,2022,-,Right,3,2,1,-,-,-,High,High,67,50,60,55,58,74
W. Taïbi,Waniss Taïbi,64,1400000,"CM,CAM",CM,France,20,184,70,349,Angers SCO,4000,3700000,SUB,2025,26,2021,-,Right,3,3,1,-,-,-,Medium,Medium,53,50,65,66,52,63
L. Scales,Liam Scales,64,1100000,"CB,LB",CB,Republic of Ireland,23,188,85,375,Aberdeen,9000,0,CB,2023,4,2021,TRUE,Left,2,2,1,-,-,-,Medium,Medium,69,54,59,60,63,70
B. Jacobsen,Bjarke Jacobsen,64,525000,"CDM,CM",CDM,Denmark,28,190,85,363,SV Wehen Wiesbaden,2000,761000,CM,2023,19,2021,-,Right,2,2,1,-,-,-,Low,Low,53,54,58,60,61,77
H. Kurucay,Hasan Kurucay,64,850000,CB,CB,Turkey,24,185,79,317,Hamarkameratene,950,1200000,CB,2022,58,2021,-,Right,3,2,1,-,-,-,Medium,High,62,39,39,41,62,74
K. Karataş,Kazımcan Karataş,64,1200000,"LB,LM",LM,Turkey,19,182,74,378,Galatasaray SK,6000,2500000,RES,2027,88,2022,-,Left,3,3,1,-,-,-,High,Medium,76,57,57,65,58,65
S. Guðjohnsen,Sveinn Aron Guðjohnsen,64,1200000,ST,ST,Iceland,24,189,80,321,IF Elfsborg,1000,1700000,SUB,2024,11,2021,-,Left,2,2,1,Iceland,ST,9,Medium,Low,49,63,45,59,33,72
D. Grétarsson,Daníel Leó Grétarsson,64,775000,CB,CB,Iceland,26,185,76,370,Śląsk Wrocław,2000,1100000,CB,2025,6,2022,-,Left,3,2,1,Iceland,CB,14,Medium,Medium,68,52,58,59,64,69
A. Gogić,Alex Gogić,64,525000,"CDM,CM",CB,Cyprus,28,183,83,355,St. Mirren,2000,919000,SUB,2024,13,2022,-,Right,2,2,1,-,-,-,Low,High,63,45,51,53,64,79
M. Armellino,Marco Armellino,64,450000,"CM,CDM",CDM,Italy,32,186,85,354,Modena,1000,698000,CM,2023,21,2021,-,Right,2,2,1,-,-,-,Medium,Medium,63,42,59,64,61,65
A. Beck,Adrian Beck,64,850000,CM,CM,Germany,25,185,80,377,1. FC Heidenheim 1846,6000,1400000,CM,2025,21,2022,-,Right,3,2,1,-,-,-,Medium,Medium,64,62,64,62,59,66
M. Mouandilmadji,Marius Mouandilmadji,64,900000,ST,ST,Chad,24,190,85,341,Seraing,4000,1400000,ST,2023,10,2021,-,Right,3,3,1,-,-,-,Medium,Low,72,62,46,60,28,73
G. Rukavina,Gabrijel Rukavina,64,1400000,"LW,RW",LW,Croatia,18,180,75,337,Dinamo Zagreb,500,4000000,RES,2028,41,2021,-,Right,3,2,1,-,-,-,High,Low,83,56,51,70,24,53
F. de Vries,Francis de Vries,64,625000,LB,LB,New Zealand,27,188,80,368,IFK Värnamo,950,828000,LB,2022,2,2019,-,Left,2,2,1,New Zealand,SUB,3,High,Medium,65,47,62,60,60,74
S. Braun-Schumacher,Sandrino Braun-Schumacher,64,275000,"CB,CDM",CB,Germany,33,178,82,323,SC Freiburg II,1000,399000,CB,2023,6,2019,-,Right,3,2,1,-,-,-,Medium,Medium,45,42,47,54,64,71
A. Medina,Alejandro Medina,64,650000,LM,LM,Bolivia,26,168,63,355,Independiente Petrolero,500,1400000,SUB,2022,19,2021,-,Left,3,3,1,-,-,-,Medium,Medium,70,59,60,65,45,56
A. Sarcevic,Antoni Sarcevic,64,550000,CM,CM,England,30,182,78,376,Stockport County,4000,963000,CM,2024,10,2021,-,Right,2,3,1,-,-,-,High,Medium,57,62,64,65,58,70
A. Livingstone,Adjin Livingstone,64,300000,"CDM,CM",CDM,Ghana,33,169,72,344,Estudiantes de Mérida,500,645000,CDM,2022,15,2022,-,Right,2,2,1,-,-,-,Medium,High,62,40,52,55,67,68
A. Clayton,Adam Clayton,64,300000,"CDM,CM",CDM,England,33,175,75,352,Doncaster Rovers,5000,525000,CDM,2023,8,2022,-,Right,3,2,1,-,-,-,Low,High,45,59,64,61,62,61
J. Haugaard,Jakob Haugaard,64,400000,GK,GK,Denmark,30,199,87,359,Tromsø IL,2000,0,GK,2022,1,2020,TRUE,Left,2,1,1,-,-,-,Medium,Medium,65,63,69,63,38,61
E. İlkhan,Emirhan İlkhan,64,1500000,"CM,RW,CAM",CAM,Turkey,18,175,68,358,Torino F.C.,3000,3600000,SUB,2026,14,2022,-,Right,3,3,1,-,-,-,High,Medium,68,58,63,70,50,49
R. Vera,Rodrigo Vera,64,750000,CM,CM,Paraguay,26,178,73,362,Club Nacional,500,1700000,RES,2022,22,2022,-,Left,3,2,1,-,-,-,Medium,Medium,62,59,58,62,59,62
A. Sorge,Alexander Sorge,64,500000,CB,CB,Germany,29,192,82,283,FC Erzgebirge Aue,1000,725000,CB,2024,6,2022,-,Right,3,2,1,-,-,-,Medium,Medium,45,28,36,39,64,71
Vasquão Junior,Allan Norberto Vasquez Sobrinho,64,190000,"CB,CDM",CB,Brazil,34,187,86,276,América Futebol Clube,4000,361000,SUB,2025,33,2022,-,Right,2,2,1,-,-,-,Medium,Medium,36,33,35,37,68,67
J. Wildsmith,Joe Wildsmith,64,550000,GK,GK,England,26,183,65,363,Derby County,1000,1000000,GK,2024,1,2022,-,Right,3,1,1,-,-,-,Medium,Medium,65,65,64,64,42,63
F. Ortellado,Franco Ortellado,64,1400000,CB,CB,Argentina,21,188,83,308,Club Atlético Lanús,3000,2400000,RES,2024,36,2022,-,Left,3,2,1,-,-,-,Medium,Medium,60,30,36,46,64,72
N. Iosifov,Nikita Iosifov,64,1400000,"LM,RM,CAM",RM,Russia,21,175,62,335,Villarreal Club de Fútbol B,1000,2500000,SUB,2026,15,2021,-,Right,3,3,1,-,-,-,High,Low,70,63,61,67,26,48
A. Dumitrescu,Andres Dumitrescu,64,1300000,LB,LB,Romania,21,178,70,341,Sepsi OSK Sf. Gheorghe,2000,2000000,LB,2023,20,2020,-,Left,2,2,1,-,-,-,Medium,Medium,75,39,51,51,60,65
Kim Dong Min,Dong Min Kim,64,600000,"CB,LB",CB,Korea Republic,27,180,72,352,Incheon United FC,1000,795000,CB,2023,47,2017,-,Right,3,2,1,-,-,-,Medium,High,73,38,49,59,63,70
Aritz Castro,Aritz Castro Pérez,64,750000,GK,GK,Spain,24,187,84,356,Deportivo Alavés,2000,1400000,SUB,2023,34,2019,-,Right,3,1,1,-,-,-,Medium,Medium,60,62,62,66,38,68
N. Banegas,Nahuel Banegas,64,750000,"LB,CB",LB,Argentina,25,176,80,351,Club Atlético Central Córdoba,3000,1100000,SUB,2023,3,2020,-,Left,2,2,1,-,-,-,Medium,High,68,44,53,55,62,69
J. Huyghebaert,Jérémy Huyghebaert,64,300000,LB,LB,Belgium,33,180,72,359,FC U Craiova 1948,3000,405000,LB,2023,5,2020,-,Left,2,2,1,-,-,-,Medium,Medium,66,46,60,58,61,68
R. Rivas,Rodrigo Rivas,64,875000,ST,ST,Colombia,25,190,80,343,C.D. Universidad Católica del Ecuador,500,1900000,SUB,2022,23,2022,-,Right,3,2,1,-,-,-,Medium,Medium,66,66,58,65,27,61
R. Kuijpers,Roy Kuijpers,64,950000,RW,RM,Netherlands,22,175,66,345,RKC Waalwijk,2000,1600000,SUB,2025,17,2021,-,Right,3,2,1,-,-,-,Medium,Medium,75,63,58,68,32,49
J. Bejarano,Joel Bejarano,64,700000,"CDM,CM",CM,Bolivia,26,172,71,362,Independiente Petrolero,500,1600000,SUB,2023,21,2021,-,Right,3,3,1,-,-,-,Medium,High,58,57,61,59,63,64
L. Brochero,Lucas Brochero,64,1300000,"RM,CAM,RW",RM,Argentina,23,172,70,345,Arsenal de Sarandí,3000,0,SUB,2022,11,2020,TRUE,Right,4,3,1,-,-,-,Medium,Low,81,63,55,68,31,47
J. Sainati,Joris Sainati,64,275000,CB,CB,France,33,183,83,332,SC Bastia,1000,481000,CB,2023,28,2021,-,Right,2,2,1,-,-,-,Low,High,63,31,53,47,62,76
A. Buzbuchi,Alexandru Buzbuchi,64,500000,GK,GK,Romania,28,190,80,350,FC Farul Constanța,2000,713000,SUB,2024,1,2022,-,Right,2,1,1,-,-,-,Medium,Medium,64,59,60,66,36,65
T. Thompson,Tommy Thompson,64,625000,"RB,LB",CAM,United States,26,173,71,367,San Jose Earthquakes,2000,984000,RB,2022,22,2014,-,Right,2,4,1,-,-,-,High,Medium,64,52,60,71,58,62
A. Magashy,Abdussalam Magashy,64,850000,"CAM,CM",CAM,Nigeria,24,176,74,395,IFK Värnamo,900,1100000,CAM,2022,21,2020,-,Right,3,3,1,-,-,-,High,Medium,75,57,59,66,60,78
M. Rzuchowski,Michał Rzuchowski,64,575000,CM,CM,Poland,28,176,74,373,Śląsk Wrocław,3000,776000,SUB,2024,28,2022,-,Right,3,2,1,-,-,-,Medium,High,58,59,64,62,58,72
W. Kenndal,William Kenndal,64,650000,"CDM,CM",RWB,Sweden,26,173,65,362,IFK Värnamo,950,861000,CM,2022,8,2021,-,Right,3,3,1,-,-,-,Medium,Medium,71,44,61,64,60,62
G. Aranda,Gabriel Aranda,64,1200000,CB,CB,Argentina,21,190,82,308,Boca Juniors,3000,1900000,RES,2025,39,2022,-,Right,2,2,1,-,-,-,Low,Medium,53,30,42,49,64,70
R. Feltscher,Rolf Feltscher,64,425000,RB,CB,Venezuela,31,184,85,367,MSV Duisburg,2000,616000,RES,2024,21,2021,-,Right,3,2,1,-,-,-,High,Medium,59,46,60,60,61,81
H. Gong,Hilary Gong,64,1300000,"RM,ST",RM,Nigeria,23,170,72,354,FK Haugesund,1000,1900000,SUB,2022,17,2022,-,Right,3,3,1,-,-,-,Medium,Medium,85,57,55,68,33,56
K. John,Kyle John,64,1100000,RB,RB,England,21,176,68,347,Everton,6000,2300000,RES,2023,48,2019,-,Right,2,2,1,-,-,-,High,Medium,65,43,56,64,61,58
L. Matarese,Luca Matarese,64,925000,"LW,ST",LW,Italy,24,177,65,318,Frosinone,900,1600000,LW,2023,33,2017,-,Right,3,3,1,-,-,-,Medium,Medium,70,58,57,69,25,39
A. Cossio,Alexis Cossio,64,575000,"LB,LM",LB,Peru,27,184,79,393,Cienciano,500,1200000,SUB,2022,2,2022,-,Left,3,2,1,-,-,-,Medium,High,76,57,58,63,59,80
N. Holland,Nathan Holland,64,875000,LW,RM,England,24,178,70,330,Milton Keynes Dons,3000,1600000,LW,2024,11,2022,-,Right,4,3,1,-,-,-,High,Medium,81,55,57,66,26,45
M. Jahfali,Mohammed Jahfali,64,400000,"CB,CDM",CB,Saudi Arabia,31,185,71,322,Al Hilal,8000,680000,SUB,2022,70,2015,-,Right,2,2,1,-,-,-,Low,High,60,36,48,44,63,71
Alberto Moreno,Alberto Moreno Rebanal,64,1500000,CM,CAM,Spain,20,175,69,366,Atlético de Madrid,8000,4000000,RES,2023,32,2021,-,Right,4,2,1,-,-,-,Medium,Medium,67,60,63,68,53,55
K. Schmidt,Kenneth Schmidt,64,1200000,CB,CB,Germany,20,186,79,310,SC Freiburg II,850,2000000,CB,2026,23,2020,-,Left,4,2,1,-,-,-,High,Medium,58,26,49,46,64,67
Z. Ould Khaled,Zinédine Ould Khaled,64,1200000,"CDM,CM",CDM,France,22,195,79,346,Angers SCO,4000,2600000,RES,2026,12,2019,-,Right,3,2,1,-,-,-,Low,Medium,50,47,58,62,61,68
A. Amade,Alfons Amade,64,1200000,"CM,RM",CM,Germany,22,170,64,371,KV Oostende,3000,2000000,CM,2024,23,2021,-,Right,3,2,1,-,-,-,Medium,High,80,40,63,67,63,58
Javi Vázquez,Javier María Vázquez López,64,1300000,"LB,LM",LB,Spain,21,178,72,337,UD Ibiza,1000,2300000,LB,2023,12,2021,-,Left,3,2,1,-,-,-,Medium,High,73,35,53,58,60,58
G. Carriero,Giuseppe Carriero,64,875000,CM,CAM,Italy,24,177,72,356,Cittadella,750,1400000,RES,2025,20,2022,-,Right,3,3,1,-,-,-,Medium,Medium,63,54,62,66,48,63
I. Leguizamón,Iván Leguizamón,64,1400000,"RW,LW,CAM",LM,Paraguay,19,175,73,349,San Lorenzo de Almagro,2000,3000000,RES,2024,41,2018,-,Left,2,3,1,-,-,-,Medium,Low,82,60,55,65,36,51
Sandro Cruz,Sandro Plínio Rosa da Cruz,64,1400000,LB,LB,Portugal,21,181,78,352,GD Chaves,2000,0,RES,2023,12,2022,TRUE,Left,2,2,1,-,-,-,Medium,Medium,80,33,57,62,56,64
Lee Woong Hee,Woong Hee Lee,64,275000,CB,CB,Korea Republic,33,182,78,347,Gangwon FC,2000,344000,SUB,2026,15,2022,-,Right,3,2,1,-,-,-,Medium,High,71,30,52,58,63,73
Javi Serrano,Javier Serrano Martínez,64,1400000,CDM,CDM,Spain,19,175,70,369,CD Mirandés,5000,0,SUB,2023,5,2020,TRUE,Right,3,2,1,-,-,-,Medium,High,69,56,60,63,59,62
J. Smith,Jonny Smith,64,800000,RM,LM,England,24,173,70,350,Burton Albion,2000,1500000,RM,2023,11,2021,-,Left,3,3,1,-,-,-,High,Medium,83,59,60,66,38,44
B. Straalman,Bart Straalman,64,775000,CB,CB,Netherlands,25,193,74,331,Grenoble Foot 38,2000,1400000,RES,2023,3,2020,-,Right,2,2,1,-,-,-,Low,Medium,53,35,53,52,63,75
C. Rivas,Carlos Rivas,64,600000,"LM,LW,ST",LM,Colombia,28,176,87,362,La Equidad,600,810000,SUB,2022,11,2022,-,Left,3,3,1,-,-,-,Medium,Medium,79,62,60,62,25,74
F. Marquet,François Marquet,64,625000,"CM,CDM,CAM",CM,Belgium,27,173,71,368,FC U Craiova 1948,3000,844000,SUB,2023,88,2021,-,Right,3,2,1,-,-,-,Medium,Medium,55,54,66,65,62,66
H. Çiftçi,Hikmet Çiftçi,64,1200000,"CM,CDM",CAM,Turkey,24,177,73,362,1. FC Kaiserslautern,3000,2100000,SUB,2023,6,2020,-,Left,3,2,1,-,-,-,Medium,High,68,52,62,66,51,63
Á. Bogdán,Ádám Bogdán,64,100000,GK,GK,Hungary,34,194,92,374,Ferencvárosi TC,500,220000,SUB,2023,1,2020,-,Right,3,1,2,-,-,-,Medium,Medium,61,61,68,62,54,68
S. Balaure,Silviu Balaure,64,700000,"LW,RW",RM,Romania,26,178,64,359,AFC Hermannstadt,2000,998000,SUB,2023,96,2021,-,Right,3,2,1,-,-,-,Medium,Medium,75,57,60,65,43,59
M. Matras,Mateusz Matras,64,400000,"CB,CDM",CB,Poland,31,193,88,332,PGE FKS Stal Mielec,1000,540000,CB,2023,21,2020,-,Right,3,2,1,-,-,-,Medium,Medium,44,49,55,47,61,76
J. Danley,Jean-Jacques Danley,64,1400000,"CDM,CM",CDM,Haiti,22,180,75,365,FC Metz,2000,3400000,CDM,2024,27,2022,-,Left,3,2,1,-,-,-,Medium,Medium,67,48,60,62,61,67
F. Oppegård,Fredrik Oppegård,64,1300000,LB,LB,Norway,19,175,71,371,PSV,2000,2600000,RES,2025,35,2020,-,Left,4,3,1,-,-,-,High,Medium,81,53,57,62,58,60
M. Pourié,Marvin Pourié,64,500000,ST,ST,Germany,31,184,83,354,SV Meppen,950,725000,ST,2022,13,2022,-,Right,4,3,1,-,-,-,High,Medium,77,60,54,62,23,78
N. Topor-Stanley,Nikolai Topor-Stanley,64,100000,CB,CB,Australia,37,189,86,316,Western United FC,700,125000,SUB,2023,44,2021,-,Left,2,2,1,-,-,-,Low,High,37,36,52,46,61,84
A. Gürleyen,Ahmet Gürleyen,64,1200000,CB,CB,Germany,23,193,93,318,SV Wehen Wiesbaden,2000,2000000,CB,2023,3,2021,-,Right,3,2,1,-,-,-,Medium,Medium,54,37,47,40,61,79
Jordi Sánchez,Jordi Sánchez Ribas,64,675000,ST,ST,Spain,27,190,86,332,Widzew Łódź,2000,962000,ST,2024,9,2022,-,Right,3,2,1,-,-,-,Medium,Medium,73,64,45,57,27,66
S. Plechaty,Sandro Plechaty,64,775000,RB,RM,Germany,24,177,75,376,Rot-Weiß Essen,1000,1200000,SUB,2024,21,2020,-,Right,2,2,1,-,-,-,Medium,Medium,76,56,59,63,58,64
O. Gaona Lugo,Orlando Gaona Lugo,64,475000,"RM,LM,RW",RM,Paraguay,31,176,79,363,Club Nacional,500,1000000,LM,2022,11,2021,-,Right,3,3,1,-,-,-,Medium,Medium,80,64,56,68,36,59
C. Meza,Carlos Daniel Meza,64,1200000,"CDM,RM,RW",CDM,Peru,20,166,63,372,Ayacucho,500,2800000,RM,2023,25,2020,-,Right,3,2,1,-,-,-,Medium,High,68,54,61,63,65,61
E. Moreno,Ederson Moreno,64,525000,"CDM,CM",CDM,Colombia,28,176,68,369,La Equidad,550,709000,SUB,2022,14,2021,-,Left,3,3,1,-,-,-,Medium,Medium,76,47,63,66,57,60
L. Nilsen,Lasse Nilsen,64,575000,"LWB,LM",LWB,Norway,27,180,78,372,Tromsø IL,1000,719000,LWB,2024,25,2012,-,Left,2,2,1,-,-,-,High,Medium,81,54,54,62,56,65
A. Oguns,Ade Oguns,64,1400000,"ST,RM",ST,Nigeria,21,179,81,348,Caracas Fútbol Club,500,3900000,LM,2023,15,2021,-,Right,3,2,1,-,-,-,High,Medium,71,63,57,63,33,61
A. O'Connor,Anthony O'Connor,64,500000,CB,CB,Republic of Ireland,29,188,80,351,Morecambe,2000,875000,SUB,2023,22,2021,-,Right,3,2,1,-,-,-,Medium,Medium,57,44,54,55,62,79
A. Stahl,Albert Stahl,64,1200000,"RM,LM,ST",RM,Romania,23,180,69,362,AFC UTA Arad,2000,0,SUB,2023,29,2021,TRUE,Right,3,3,1,-,-,-,High,Medium,86,58,57,63,40,58
V. Damascan,Vitalie Damascan,64,1200000,"ST,RW",ST,Moldova,23,180,74,344,FC Voluntari,3000,0,SUB,2023,9,2021,TRUE,Right,3,2,1,-,-,-,High,Low,75,64,56,65,22,62
M. Monsalve,Miguel Monsalve,64,1500000,CAM,CAM,Colombia,18,177,73,320,Independiente Medellín,500,3000000,SUB,2023,20,2020,-,Right,3,3,1,-,-,-,Medium,Medium,55,63,59,65,34,44
K. Schur,Kévin Schur,64,425000,"RWB,LWB,LM",RWB,France,31,179,76,387,SC Bastia,1000,744000,SUB,2023,8,2018,-,Right,3,2,1,-,-,-,High,Medium,78,59,59,62,58,71
Obrador,Rafael Obrador Burguera,64,1400000,LB,LB,Spain,18,182,69,335,Real Madrid CF,7000,3700000,RES,2024,37,2021,-,Left,2,2,1,-,-,-,High,Medium,79,31,47,56,60,62
T. Mickel,Tom Mickel,64,190000,GK,GK,Germany,33,185,84,362,Hamburger SV,3000,304000,SUB,2023,12,2015,-,Right,2,1,1,-,-,-,Medium,Medium,64,62,64,65,46,61
L. Fülöp,Loránd Fülöp,64,875000,"CAM,CF,ST",RM,Romania,24,180,76,365,Universitatea Cluj,2000,1200000,SUB,2023,80,2022,-,Right,2,3,1,-,-,-,High,Low,67,60,63,66,44,65
A. Sarmiento,Andrés Sarmiento,64,875000,"LW,RW",RM,Colombia,24,178,60,338,FC Vizela,2000,1900000,RES,2025,29,2022,-,Right,3,3,1,-,-,-,High,Low,72,59,51,69,27,60
M. Oikonomou,Marios Oikonomou,64,500000,CB,CB,Greece,29,189,85,303,F.C. København,5000,650000,SUB,2023,26,2020,-,Right,3,2,1,-,-,-,Low,Medium,42,31,46,49,64,71
F. Černych,Fedor Černych,64,500000,"ST,LM,CF",RW,Lithuania,31,183,75,352,Jagiellonia Białystok,3000,675000,SUB,2023,10,2020,-,Right,3,3,1,-,-,-,High,Medium,74,64,59,64,27,64
H. Pell,Harry Pell,64,550000,CM,CDM,England,30,193,85,371,AFC Wimbledon,3000,963000,SUB,2024,8,2022,-,Right,3,2,1,-,-,-,High,High,49,63,61,58,61,79
P. Therkildsen,Peter Therkildsen,64,875000,"RB,CM,RM",RWB,Denmark,24,190,76,367,FK Haugesund,950,1300000,RWB,2024,7,2021,-,Right,3,3,1,-,-,-,High,Medium,68,47,59,61,59,73
Y. Songo'o,Yann Songo'o,64,475000,"CB,CDM",CB,Cameroon,30,185,77,333,Bradford City,5000,831000,SUB,2023,4,2021,-,Right,2,2,1,-,-,-,Medium,High,51,38,50,54,62,78
J. Rodríguez,Jonathan Rodríguez,64,400000,"CDM,CM",CM,Argentina,32,173,67,377,Sepsi OSK Sf. Gheorghe,3000,540000,CM,2024,5,2022,-,Right,3,3,1,-,-,-,Medium,Medium,62,62,67,65,60,61
B. Williams,Ben Williams,64,875000,LWB,LWB,Wales,23,178,75,354,Cheltenham Town,2000,1700000,LWB,2024,3,2022,-,Left,3,2,1,-,-,-,Medium,High,72,42,55,62,60,63
T. Jacobsen,Thore Jacobsen,64,700000,CDM,LWB,Germany,25,182,76,374,SV Elversberg,650,1100000,CDM,2024,31,2022,-,Left,3,2,1,-,-,-,Medium,Medium,69,51,61,65,60,68
P. Martino,Pietro Martino,64,775000,RB,RB,Italy,24,178,75,340,Cosenza,700,1300000,SUB,2023,27,2022,-,Right,3,3,1,-,-,-,Medium,Medium,67,41,51,53,63,65
P. Clarke,Peter Clarke,64,0,CB,CB,England,40,183,83,299,Walsall,2000,0,SUB,2023,26,2022,-,Right,3,2,1,-,-,-,Medium,High,29,42,46,39,63,80
A. Colassin,Antoine Colassin,64,1300000,"ST,CAM",ST,Belgium,21,188,82,332,SC Heerenveen,4000,0,SUB,2023,29,2018,TRUE,Right,3,3,1,-,-,-,Medium,Medium,74,63,52,66,20,57
A. Ba Masoud,Ahmed Ba Masoud,64,700000,"LB,LM",LWB,Saudi Arabia,26,175,70,365,Al Ittihad,8000,1200000,SUB,2025,95,2022,-,Left,3,2,1,-,-,-,High,Medium,79,49,55,60,56,66
G. Kiltie,Greg Kiltie,64,700000,"CAM,RM,LM",CAM,Scotland,25,173,70,357,St. Mirren,2000,1300000,SUB,2023,11,2021,-,Right,4,3,1,-,-,-,Medium,Medium,67,60,61,66,46,57
M. Trojak,Miłosz Trojak,64,575000,"CDM,CB",CB,Poland,28,191,81,355,Korona Kielce,1000,819000,CB,2024,66,2022,-,Right,2,2,1,-,-,-,Medium,Medium,57,47,59,58,63,71
O. Beckles,Omar Beckles,64,475000,CB,CB,Grenada,30,191,80,328,Leyton Orient,4000,831000,CB,2023,19,2021,-,Left,3,2,1,-,-,-,Medium,Medium,54,32,47,53,63,79
D. Browne,David Browne,64,700000,"LW,RM",LW,Papua New Guinea,26,175,67,345,HJK Helsinki,500,1600000,RM,2022,24,2020,-,Right,2,3,1,-,-,-,Medium,Medium,84,55,56,66,34,50
Li Shuai,Shuai Li,64,600000,LM,LM,China PR,28,174,68,365,Meizhou Hakka,3000,930000,RES,2027,30,2022,-,Right,3,3,1,-,-,-,High,Medium,82,56,60,66,42,59
A. Abeid,Aly Abeid,64,775000,LB,LB,Mauritania,24,174,73,358,AFC UTA Arad,2000,1100000,SUB,2023,24,2022,-,Left,3,2,1,-,-,-,High,Medium,72,42,52,59,58,75
N. Kirwan,Niko Kirwan,64,0,"RB,LB,RM",RB,New Zealand,26,186,73,368,Free agent,0,0,-,-,-,2022,-,Right,3,2,1,New Zealand,SUB,22,High,High,71,53,57,57,58,72
B. Adekanye,Bobby Adekanye,64,1200000,RM,LM,Netherlands,23,175,70,345,Go Ahead Eagles,2000,2000000,ST,2024,11,2022,-,Left,3,3,1,-,-,-,Medium,Medium,76,55,56,70,30,58
